Sample,X,Y,Z
461,0.7057,1.5540,0.0041
462,-0.1417,1.3306,0.1556
463,-0.5586,0.7788,0.0531
464,-0.3052,0.7427,-0.3664
465,0.3447,1.5967,-0.1636
466,0.6497,1.5804,-0.0850
467,0.1127,0.8672,-0.0430
468,-0.2621,-0.0892,-0.1185
469,-0.0746,0.3478,-0.1013
470,0.3851,1.5654,-0.2346
471,0.1531,1.8946,0.1889
472,-0.0380,0.9980,0.0270
473,-0.6012,0.5137,0.0957
474,-0.1365,0.9538,-0.0166
475,0.4525,1.7057,-0.0806
476,0.6284,1.5969,-0.0168
477,0.0480,0.4196,-0.0412
478,-0.4098,-0.0587,0.0023
479,-0.4586,0.3854,0.0334
480,0.1459,1.0234,-0.0506
481,0.4515,1.8650,-0.1600
482,0.2897,1.0319,-0.0735
483,-0.4461,0.7833,0.1541
484,-0.0724,0.4713,0.1154
485,-0.2090,0.8519,0.1312
486,0.3731,1.6526,-0.0073
487,0.6672,1.7064,-0.0552
488,-0.1556,0.6204,0.2147
489,-0.7017,0.1265,0.0836
490,-0.3074,0.4387,0.0743
491,0.3331,1.8178,-0.1528
492,0.4771,1.9690,-0.0555
493,0.1599,0.6965,0.0744
494,-0.9751,-0.1465,-0.3756
495,0.3709,0.3751,-0.1825
496,0.9758,1.8301,-0.2375
497,0.5341,1.7957,-0.1360
498,-0.2324,0.5281,0.1122
499,-1.0166,0.2258,0.0503
500,-0.2874,0.7324,-0.4293
501,0.6286,1.9843,-0.0319
502,0.5336,1.6365,0.0130
503,0.0067,0.2704,0.2504
504,-0.3672,-0.0677,0.0101
505,-0.6012,0.5137,0.0957
506,-0.1396,0.5598,0.0135
507,0.2265,1.5403,-0.0469
508,0.4507,1.6967,0.1817
509,-0.0780,1.1143,0.1241
510,-0.3221,0.4462,0.0246
511,-0.2363,0.7744,0.0759
512,-0.0818,1.4854,-0.0377
513,0.3982,1.8694,-0.2901
514,0.1992,1.2292,0.0354
515,-0.4509,0.1147,0.0902
516,-0.0300,0.4541,-0.0198
517,0.5424,0.7751,-0.2874
518,0.7280,1.7314,-0.1282
519,0.0203,0.5836,-0.2238
520,-0.5129,0.1753,0.2241
521,-0.7544,0.7107,0.1056
522,0.2961,1.6315,-0.2110
523,0.4401,1.9681,-0.2151
524,0.0642,1.0513,0.1949
525,-0.1819,0.0513,0.1393
526,-0.2482,0.0417,-0.0187
527,0.1162,0.8640,-0.0887
528,0.6454,1.8668,0.0341
529,0.4744,1.4592,0.1227
530,-0.3245,0.3676,0.1123
531,-0.4052,0.1567,-0.1984
532,-0.2471,1.5381,-0.4626
533,0.2057,1.8551,-0.0261
534,0.2378,0.9669,0.1460
535,0.0828,0.8997,0.1053
536,-0.3804,0.1821,-0.0263
