Sample,X,Y,Z
668,0.5516,1.6390,-0.1097
669,0.3611,1.4486,-0.1044
670,-0.1041,0.6394,0.0200
671,-0.4427,0.5026,-0.0312
672,-0.1765,0.9947,-0.0897
673,0.3194,1.5053,-0.2249
674,0.4236,1.4907,0.0678
675,0.2463,0.8226,0.0814
676,-0.1011,0.5847,-0.0090
677,-0.2428,0.8972,-0.0782
678,-0.1576,1.1176,-0.1856
679,0.1120,1.3627,0.0190
680,0.3257,1.0657,0.1389
681,0.1862,0.9200,0.1432
682,-0.2284,0.4720,-0.0478
683,-0.3955,0.8414,-0.0344
684,-0.1160,0.9875,-0.0657
685,0.0576,1.1232,-0.0107
686,0.1907,0.6752,0.0143
687,0.2513,0.9913,0.0530
688,0.6160,1.3878,0.0362
689,0.0072,1.1498,-0.1421
690,-0.4448,0.8636,-0.1389
691,-0.1182,0.7639,-0.0527
692,-0.2637,0.7037,-0.0085
693,0.3091,1.0181,0.1202
694,0.5065,1.2412,0.1230
695,-0.1431,1.2358,0.0593
696,-0.5624,0.7063,-0.2654
697,0.0773,1.2017,-0.1956
698,0.5815,1.4313,0.0400
699,0.2253,0.8774,0.0949
700,0.2253,0.8774,0.0949
701,-0.3252,0.5265,-0.0156
702,-0.5541,0.3953,-0.2458
703,0.1592,1.2207,-0.0768
704,0.7014,1.7020,0.1002
705,0.1562,0.8254,0.0912
706,-0.5048,0.1996,-0.0111
707,-0.2100,0.6373,-0.0682
708,0.5234,1.7723,-0.0156
709,0.5861,1.7517,0.1279
710,-0.2610,0.8461,0.0352
711,-0.7427,-0.2338,-0.0125
712,-0.4047,0.3103,-0.0999
713,0.4304,1.3862,-0.0625
714,0.6462,1.9915,-0.1121
715,0.0959,1.0619,0.0006
716,-0.6772,0.3929,-0.1054
717,0.0961,0.7380,-0.0836
718,0.7364,1.5994,-0.0593
719,0.3342,1.4241,0.0701
720,0.3342,1.4241,0.0701
721,-0.1563,0.7056,-0.1024
722,-0.5819,0.4794,-0.0425
723,-0.2542,0.8809,0.0312
724,0.2261,1.4996,-0.0365
725,0.4211,1.2090,-0.0629
726,0.2946,0.5677,0.0873
